,Year,Electricity,Short tons,Y3,X1,Workers,Heat content of coal,Heat content of oil,Head content of gas,F1,F2,Phase I
1012,86,1409182330,39973.33,7391.77 1,87561.853,75,1.44E+13,1742580000,13104000000,21026.9,0.089305,0
1047,86,1221574548,7527.87,8844.38 9,4328097.601,55,1.40E+13,39984000000,0,4165.39,5.060639,0
1250,86,1251918000,4307.06,5258.10 1,15578927.62,135,1.50E+13,0,3.78E+11,4857.78,0,0
1355,86,3081035000,61285.93,11775.98 1,28528747.5,138,3.40E+13,45864000000,0,32199.12,4.643881,0
1356,86,6936212000,77169.43,24831.48,393695398.5,233,7.30E+13,1.76E+11,0,40606.34,8.990077,0
1357,86,923301000,19194.28,4998.05 7,2527937.456,106,1.07E+13,8719200000,0,10127.76,0.446527,0
1364,86,6795405000,20114.53,27209.62 3,35274247.12,521,7.03E+13,1.84E+11,1.83E+11,102481.32,10.249283,0
1570,86,389508000,3420.21,1428.91 5,9263590.405,64,4.24E+12,22503600000,0,1800,1.696803,0
1606,86,1078095000,10402.27,4336.61 3,8088797.683,68,1.04E+13,0,0,5477.99,0,0
1695,86,2029514000,13259.21,6335.34 1,50498959.32,192,2.05E+13,44368800000,0,6959.08,5.656009,0
1745,86,3155324000,19903.45,10105.73 3,57531591.77,315,3.44E+13,1.91E+11,0,10492.56,13.48065,0
1943,86,243964800,2692.26,1256.16 4,3909965.445,38,3.06E+12,1764000000,0,1795.78,0.178611,0
2080,86,1703623000,73983.19,7123.04 1,6572404.355,160,1.85E+13,64639260000,0,41298.5,4.911797,0
2103,86,11133609000,239124.95,37357.01 5,35756062.06,486,1.12E+14,3.03E+11,0,125911.65,39.145535,0
2107,86,3939674000,92361.79,30195.62 2,6068597.666,265,4.15E+13,25893000000,0,48589.98,3.348953,0
2526,86,538564200,9434.03,2402.84 8,1246431.689,86,6.31E+12,58035600000,0,4961.17,1.958765,0
2527,86,678045499,11458.61,3421.49 8,401748.1168,95,7.42E+12,68722500000,0,6021.33,8.856119,0
2535,86,1390678700,19457.47,4181.52 9,117440.8079,83,1.32E+13,20210118600,0,10229.61,2.604741,0
2549,86,3224730000,39492.83,14342.60 3,61572602.1,306,3.37E+13,0,0,20804.18,0,0
2554,86,2957508000,41200.55,8831.25 2,3747377.223,214,3.01E+13,0,0,21686.04,0,0
2642,86,936994000,16700.41,2861.23 9,739289.7477,133,9.94E+12,51584400000,0,8780.4,5.431257,0
